Age,Gender,Marital Status,Student_ID,Graduation Date,Spouse Age,child_1,child_2,child_3,child_4
40,Male,Single,2000151,2020-06-05,,,,,
32,Male,Married,2000251,2020-06-05,36,3,13,1,
30,Female,Married,2000351,2020-06-05,28,15,5,,
35,Male,Married,2000451,2020-06-05,40,1,,,
39,Male,Married,2000551,2020-06-05,40,10,9,,
30,Male,Married,2000651,2020-06-05,32,1,10,,
38,Male,Single,2000751,2020-06-05,,,,,
31,Male,Married,2000851,2020-06-05,28,6,6,2,
37,Female,Married,2000951,2020-06-05,35,13,,,
34,Male,Married,2001051,2020-06-05,29,8,4,,
41,Male,Single,2001151,2020-06-05,,,,,
30,Male,Married,2001251,2020-06-05,25,2,11,12,
35,Female,Single,2001351,2020-06-05,,,,,
38,Female,Single,2001451,2020-06-05,,,,,
44,Female,Married,2001551,2020-06-05,39,12,4,,
44,Female,Single,2001651,2020-06-05,,,,,
34,Male,Married,2001751,2020-06-05,30,10,9,,
38,Female,Married,2001851,2020-06-05,33,17,5,2,
32,Male,Married,2001951,2020-06-05,37,5,6,,
42,Male,Married,2002051,2020-06-05,46,12,,,
41,Male,Married,2002151,2020-06-05,43,14,16,4,2
43,Female,Single,2002251,2020-06-05,,,,,
42,Female,Married,2002351,2020-06-05,39,14,4,3,
45,Male,Single,2002451,2020-06-05,,,,,
30,Male,Married,2002551,2020-06-05,25,14,,,
42,Male,Single,2002651,2020-06-05,,,,,
39,Male,Single,2002751,2020-06-05,,,,,
38,Male,Married,2002851,2020-06-05,42,1,,,
30,Male,Married,2002951,2020-06-05,25,17,7,16,16
34,Female,Married,2003051,2020-06-05,29,14,10,8,
34,Male,Married,2003151,2020-06-05,29,1,,,
41,Male,Married,2003251,2020-06-05,44,16,,,
42,Female,Married,2003351,2020-06-05,42,1,,,
45,Male,Married,2003451,2020-06-05,49,12,8,16,
38,Male,Married,2003551,2020-06-05,43,4,10,16,
41,Female,Married,2003651,2020-06-05,46,11,6,14,
41,Male,Married,2003751,2020-06-05,44,1,,,
44,Female,Married,2003851,2020-06-05,43,3,,,
40,Male,Married,2003951,2020-06-05,39,1,,,
40,Male,Single,2004051,2020-06-05,,,,,
33,Male,Married,2004151,2020-06-05,33,1,,,
32,Male,Married,2004251,2020-06-05,28,17,15,13,5
40,Male,Married,2004351,2020-06-05,35,1,4,8,14
32,Male,Single,2004451,2020-06-05,,,,,
30,Female,Married,2004551,2020-06-05,31,1,15,3,
44,Male,Married,2004651,2020-06-05,48,1,,,
43,Male,Single,2004751,2020-06-05,,,,,
37,Male,Married,2004851,2020-06-05,34,10,,,
37,Male,Single,2004951,2020-06-05,,,,,
31,Male,Married,2005051,2020-06-05,35,15,,,
31,Male,Married,2005151,2020-06-05,35,9,9,,
34,Female,Married,2005251,2020-06-05,36,14,10,,
37,Male,Married,2005351,2020-06-05,32,1,,,
44,Male,Married,2005451,2020-06-05,39,7,17,13,11
40,Male,Single,2005551,2020-06-05,,,,,
33,Male,Married,2005651,2020-06-05,34,1,,,
42,Male,Married,2005751,2020-06-05,41,12,1,,
38,Male,Married,2005851,2020-06-05,43,10,,,
39,Male,Married,2005951,2020-06-05,40,1,,,
43,Female,Married,2006051,2020-06-05,44,15,1,14,10
38,Male,Single,2006151,2020-06-05,,,,,
34,Female,Single,2006251,2020-06-05,,,,,
41,Male,Married,2006351,2020-06-05,40,13,16,,
36,Male,Married,2006451,2020-06-05,41,10,16,17,3
34,Male,Married,2006551,2020-06-05,34,16,10,5,10
42,Male,Single,2006651,2020-06-05,,,,,
45,Female,Married,2006751,2020-06-05,41,1,,,
42,Male,Married,2006851,2020-06-05,47,2,,,
40,Male,Married,2006951,2020-06-05,38,3,,,
35,Male,Single,2007051,2020-06-05,,,,,
45,Male,Married,2007151,2020-06-05,47,11,13,10,
40,Male,Married,2007251,2020-06-05,38,5,11,2,
37,Female,Married,2007351,2020-06-05,40,1,1,,
45,Male,Married,2007451,2020-06-05,45,6,,,
41,Male,Married,2007551,2020-06-05,44,3,3,9,
42,Female,Single,2007651,2020-06-05,,,,,
38,Female,Single,2007751,2020-06-05,,,,,
36,Male,Married,2007851,2020-06-05,37,10,2,14,3
34,Male,Married,2007951,2020-06-05,35,1,,,
39,Female,Married,2008051,2020-06-05,36,8,16,2,6
36,Male,Married,2008151,2020-06-05,39,9,10,13,
36,Male,Married,2008251,2020-06-05,37,1,,,
37,Female,Married,2008351,2020-06-05,38,4,16,,
42,Male,Married,2008451,2020-06-05,45,1,17,,
32,Male,Single,2008551,2020-06-05,,,,,
34,Male,Married,2008651,2020-06-05,33,10,,,
41,Male,Married,2008751,2020-06-05,37,14,,,
41,Male,Married,2008851,2020-06-05,42,11,4,16,5
33,Male,Single,2008951,2020-06-05,,,,,
37,Male,Single,2009051,2020-06-05,,,,,
31,Female,Married,2009151,2020-06-05,32,1,,,
41,Male,Married,2009251,2020-06-05,38,4,5,,
32,Male,Single,2009351,2020-06-05,,,,,
39,Male,Married,2009451,2020-06-05,39,1,,,
34,Male,Married,2009551,2020-06-05,38,15,5,,
30,Female,Single,2009651,2020-06-05,,,,,
44,Male,Married,2009751,2020-06-05,47,1,5,2,
44,Female,Married,2009851,2020-06-05,40,12,10,,
40,Male,Married,2009951,2020-06-05,40,1,,,
38,Female,Married,2010051,2020-06-05,42,12,,,
30,Male,Single,2010151,2020-06-05,,,,,
37,Female,Married,2010251,2020-06-05,37,10,16,7,
33,Female,Married,2010351,2020-06-05,34,7,,,
32,Male,Married,2010451,2020-06-05,37,1,,,
39,Female,Single,2010551,2020-06-05,,,,,
43,Male,Married,2010651,2020-06-05,47,1,,,
37,Male,Married,2010751,2020-06-05,36,1,,,
30,Female,Single,2010851,2020-06-05,,,,,
30,Male,Single,2010951,2020-06-05,,,,,
38,Male,Married,2011051,2020-06-05,33,1,,,
43,Female,Married,2011151,2020-06-05,47,14,12,1,
35,Female,Single,2011251,2020-06-05,,,,,
30,Male,Married,2011351,2020-06-05,33,14,10,10,
43,Male,Married,2011451,2020-06-05,44,6,12,,
31,Female,Married,2011551,2020-06-05,30,1,,,
42,Male,Single,2011651,2020-06-05,,,,,
40,Female,Married,2011751,2020-06-05,42,9,11,4,2
32,Male,Single,2011851,2020-06-05,,,,,
43,Male,Single,2011951,2020-06-05,,,,,
35,Male,Married,2012051,2020-06-05,35,1,,,
32,Male,Married,2012151,2020-06-05,37,1,,,
43,Male,Single,2012251,2020-06-05,,,,,
45,Female,Married,2012351,2020-06-05,41,1,,,
31,Female,Married,2012451,2020-06-05,27,7,10,12,4
40,Male,Married,2012551,2020-06-05,39,17,9,14,
34,Male,Married,2012651,2020-06-05,34,1,,,
30,Male,Married,2012751,2020-06-05,32,1,,,
35,Male,Single,2012851,2020-06-05,,,,,
43,Male,Married,2012951,2020-06-05,47,6,9,,
37,Male,Married,2013051,2020-06-05,34,13,,,
43,Female,Single,2013151,2020-06-05,,,,,
45,Female,Married,2013251,2020-06-05,40,10,11,16,12
36,Male,Married,2013351,2020-06-05,41,9,5,,
33,Female,Married,2013451,2020-06-05,37,2,12,,
38,Male,Single,2013551,2020-06-05,,,,,
33,Male,Single,2013651,2020-06-05,,,,,
41,Male,Married,2013751,2020-06-05,37,7,,,
41,Male,Single,2013851,2020-06-05,,,,,
36,Male,Married,2013951,2020-06-05,31,6,1,7,17
42,Male,Single,2014051,2020-06-05,,,,,
32,Female,Married,2014151,2020-06-05,27,17,13,,
36,Male,Married,2014251,2020-06-05,35,2,5,,
35,Male,Married,2014351,2020-06-05,34,2,8,16,
33,Male,Married,2014451,2020-06-05,36,11,13,,
32,Male,Single,2014551,2020-06-05,,,,,
31,Male,Married,2014651,2020-06-05,27,10,10,15,
35,Male,Married,2014751,2020-06-05,32,1,,,
32,Female,Married,2014851,2020-06-05,28,9,9,5,
31,Male,Single,2014951,2020-06-05,,,,,
44,Male,Married,2015051,2020-06-05,49,14,8,12,
30,Male,Married,2015151,2020-06-05,32,17,8,13,10
43,Female,Single,2015251,2020-06-05,,,,,
43,Male,Single,2015351,2020-06-05,,,,,
30,Male,Married,2015451,2020-06-05,25,13,11,17,10
36,Male,Married,2015551,2020-06-05,39,8,12,6,7
39,Female,Married,2015651,2020-06-05,34,11,,,
31,Male,Married,2015751,2020-06-05,26,1,,,
33,Male,Single,2015851,2020-06-05,,,,,
30,Male,Married,2015951,2020-06-05,28,1,,,
42,Female,Married,2016051,2020-06-05,46,4,5,,
34,Male,Single,2016151,2020-06-05,,,,,
42,Male,Married,2016251,2020-06-05,47,13,10,15,
41,Male,Married,2016351,2020-06-05,37,12,16,,
31,Male,Married,2016451,2020-06-05,34,3,2,14,
39,Female,Single,2016551,2020-06-05,,,,,
37,Male,Married,2016651,2020-06-05,36,10,17,13,
40,Female,Married,2016751,2020-06-05,35,8,,,
34,Female,Single,2016851,2020-06-05,,,,,
41,Male,Single,2016951,2020-06-05,,,,,
34,Male,Single,2017051,2020-06-05,,,,,
44,Male,Single,2017151,2020-06-05,,,,,
32,Male,Married,2017251,2020-06-05,37,2,17,9,5
39,Female,Married,2017351,2020-06-05,44,1,,,
36,Male,Married,2017451,2020-06-05,33,10,10,,
41,Male,Married,2017551,2020-06-05,38,15,8,8,15
45,Female,Single,2017651,2020-06-05,,,,,
32,Female,Married,2017751,2020-06-05,35,2,16,,
43,Male,Married,2017851,2020-06-05,43,1,4,,
32,Female,Married,2017951,2020-06-05,31,13,15,,
38,Female,Single,2018051,2020-06-05,,,,,
38,Female,Single,2018151,2020-06-05,,,,,
37,Female,Married,2018251,2020-06-05,38,10,5,,
35,Female,Married,2018351,2020-06-05,31,1,6,10,1
43,Female,Married,2018451,2020-06-05,45,9,,,
39,Female,Married,2018551,2020-06-05,39,5,,,
34,Male,Married,2018651,2020-06-05,29,9,2,7,10
31,Male,Married,2018751,2020-06-05,29,1,,,
43,Male,Married,2018851,2020-06-05,47,1,,,
33,Male,Married,2018951,2020-06-05,33,1,,,
39,Female,Married,2019051,2020-06-05,40,10,8,3,17
34,Male,Married,2019151,2020-06-05,37,1,,,
39,Female,Single,2019251,2020-06-05,,,,,
37,Male,Married,2019351,2020-06-05,41,1,,,
33,Female,Married,2019451,2020-06-05,32,10,6,,
31,Female,Married,2019551,2020-06-05,35,6,15,,
33,Male,Married,2019651,2020-06-05,31,9,,,
42,Female,Single,2019751,2020-06-05,,,,,
31,Male,Single,2019851,2020-06-05,,,,,
35,Male,Single,2019951,2020-06-05,,,,,
32,Male,Married,2020051,2020-06-05,36,1,,,
35,Female,Married,2020151,2020-06-05,40,1,,,
44,Female,Married,2020251,2020-06-05,48,10,10,6,
45,Male,Married,2020351,2020-06-05,46,6,,,
37,Male,Married,2020451,2020-06-05,32,15,,,
31,Male,Married,2020551,2020-06-05,32,16,,,
41,Male,Married,2020651,2020-06-05,43,4,5,15,17
30,Female,Single,2020751,2020-06-05,,,,,
35,Male,Married,2020851,2020-06-05,30,1,,,
43,Female,Married,2020951,2020-06-05,45,16,,,
37,Male,Married,2021051,2020-06-05,39,10,17,,
40,Male,Married,2021151,2020-06-05,43,15,13,7,1
36,Male,Married,2021251,2020-06-05,39,9,15,4,
40,Male,Married,2021351,2020-06-05,36,14,11,1,4
44,Male,Married,2021451,2020-06-05,46,15,,,
41,Female,Married,2021551,2020-06-05,45,1,,,
40,Male,Married,2021651,2020-06-05,40,1,,,
34,Female,Married,2021751,2020-06-05,32,5,16,14,
43,Male,Married,2021851,2020-06-05,45,10,8,6,4
31,Male,Married,2021951,2020-06-05,31,12,3,1,
37,Female,Married,2022051,2020-06-05,41,13,1,12,14
33,Female,Single,2022151,2020-06-05,,,,,
45,Male,Married,2022251,2020-06-05,41,1,,,
33,Male,Married,2022351,2020-06-05,38,15,15,1,6
43,Male,Single,2022451,2020-06-05,,,,,
31,Female,Single,2022551,2020-06-05,,,,,
43,Male,Married,2022651,2020-06-05,45,11,,,
44,Male,Married,2022751,2020-06-05,41,1,,,
40,Male,Married,2022851,2020-06-05,41,1,,,
44,Male,Single,2022951,2020-06-05,,,,,
