Student_id,C200,C300,C400,C500,F100,S100,H100,L100,M000,M100,M200,M300,M400,X100,Final Grade
2000151,95.74,100,91.68,89.68,89.86,100,86.37,87.64,93.79,90.45,87.54,85.46,91.6,82.8,90.9007
2000251,92.77,83.59,87.7,91.13,94.86,82.21,84.73,94.6,95.41,89.03,92.55,92.01,93.79,96.21,90.7564
2000351,100,94.67,89.01,82.9,91.09,94.59,88.52,83.09,93.86,89.22,99.24,92.79,95.43,84.56,91.355
2000451,90.75,87.17,94.23,90.96,88.72,89.04,90.78,89.83,90.6,92.4,87.57,87.1,95.3,90.31,90.34
2000551,89.48,100,90.79,97.21,96.49,88.16,95.48,96.04,82.79,93.78,89.14,100,87.66,81.87,92.0636
2000651,92.19,98.87,89.56,90.96,83.26,95.66,100,91.6,94.09,89.12,83.73,94.67,91.78,94.94,92.1736
2000751,95.28,92.79,91.14,85.52,93.44,92.37,89.08,88.15,94.93,93.64,99.87,88.7,95.66,95.7,92.5907
2000851,89.92,91.41,93.99,88.89,96.37,86.99,89.8,83.36,87.93,90.43,96.53,87.82,100,88.77,90.8721
2000951,88.89,84.46,85.56,94.69,83.71,97.11,95.37,98.65,93.64,99.41,88.06,96.09,98.96,88.54,92.3671
2000150,87.31,96.99,89.67,88.86,95.79,98.99,85.7,94.52,82.43,90.31,95.33,100,86.05,94.07,91.8586
2001051,97.42,100,90.8,93.33,100,88.68,97.47,93.44,91.55,98.82,89.19,91.24,91.28,100,94.5157
2001151,93.23,95.42,93.81,100,98.91,89.72,92.03,92.19,92.35,90,88.59,96.98,83.84,100,93.3621
2001251,98.02,92.88,82.49,93.56,85.86,88.95,93.4,90.38,92.21,95.75,89.24,87.93,85.56,86.64,90.205
2001351,93.73,95.7,81.23,93.94,98.27,90.7,88.98,88.5,87.44,95.26,95.79,83.97,84.56,100,91.2907
2001451,90.18,93.34,97.75,89.83,89.8,90.23,93.17,88.2,92.34,93.3,96.56,93.89,91.3,87.46,91.9536
2001551,88.39,86.92,97.3,89.72,91.61,82.51,81.39,90.62,91.17,93.42,92.38,97.15,92.41,100,91.0707
2001651,89.69,90.87,84.05,86.33,87,93.75,89.03,88.44,88.34,98.27,90.76,85.48,92.87,92.11,89.785
2001751,88.71,84.76,95,89.97,91.55,92.26,92.74,93.65,100,91.51,90.58,84.93,85.59,96.84,91.2921
2001851,98.85,86.02,88.41,86.38,78.46,85.59,94.4,91.33,89.72,90.94,86.19,92.79,91.65,97.53,89.8757
2001951,94.87,88.99,93.81,99.01,88.98,92.57,96.91,87.52,83.02,91.64,98.46,97.18,100,100,93.7829
2000250,94.12,95.82,93.21,90.69,91.79,89.53,96.78,93.79,93.93,86.35,94.04,96.01,93.83,98.13,93.43
2002051,86.91,88.42,94.56,89.42,92.95,95.9,90.16,96.67,92.45,95.22,98.25,94.1,91.8,89.92,92.6236
2002151,86.44,96.11,89.65,90.6,97.59,98.46,93.74,86.86,87.64,83.53,92.1,93.92,92.82,92.66,91.58
2002251,88.77,85.56,96.62,95.16,95.87,89.35,90.56,92.22,91.37,88.03,92.02,96.57,85.52,87.75,91.0979
2002351,94.29,86.26,92.37,100,89.48,88.81,83.71,90.15,98.23,87.22,88.41,90,94.39,98.1,91.53
2002451,85.84,94.31,85.48,91.04,94.64,89.77,97.32,93.91,89.12,95.96,99.65,87.07,94.94,84.95,91.7143
2002551,100,99.11,87.16,91.71,87.61,82,84.92,94.4,93.63,86.44,94.55,93.96,79.18,83.11,89.8414
2002651,93.22,89.11,100,90.43,100,96.43,93.62,91.76,96.85,91.55,81.92,99.31,84.11,89.29,92.6857
2002751,95.26,87.74,97.53,93.24,94.55,93.2,90.36,100,87.24,98.81,92.84,88.86,86.59,90.7,92.6371
2002851,85.52,91.21,96.24,92.04,85.03,92.72,98.28,88.15,90.79,89.33,97.43,99.06,91.44,89.96,91.9429
2002951,80.32,96.02,91.13,100,92.3,94.35,92.61,89.79,88.35,98.85,89.77,91.05,92.6,89.44,91.8986
2000350,87.7,93.77,83.11,96.84,91.53,88.83,98.16,93.68,86.7,93.03,90.21,84.58,96.06,99.01,91.6579
2003051,88.15,89.86,93.93,96.84,90.43,87.92,89.25,88.72,95.93,86.41,96.86,88.23,93.01,96.77,91.5936
2003151,99.12,83.4,90.41,95.81,91.42,97.35,96.76,84.67,96.07,94.54,96,89.26,92.84,88.37,92.5729
2003251,91.19,97.59,96.97,87.35,100,88.47,93.07,90.38,82.44,96.2,95.92,96.97,87.29,93.1,92.6386
2003351,100,88.55,89.95,91.59,93.73,87.48,98.9,92.1,83.41,96.62,96.28,97.02,97.39,99.41,93.745
2003451,94.32,87.6,90.31,90.65,89.96,93.12,94.2,100,85.44,92.96,87.5,91.86,92.51,94.11,91.7529
2003551,100,100,97.65,79.94,96.24,97.93,86.11,91.59,91.19,89.81,93.04,92.59,98.89,91.17,93.2964
2003651,91.53,88.37,85.9,86.85,90.98,94.54,92.92,88.33,91.46,87.59,94.38,92.73,98.28,84.79,90.6179
2003751,96.39,91.34,84.3,90.55,87.32,100,92.26,91.24,83.91,85.56,83.5,87.44,89.09,90,89.4929
2003851,88.38,85.02,93.81,86.16,93.58,95.79,90.13,92.04,90.14,93.31,93.88,99.73,94.42,92.28,92.0479
2003951,86.27,93.87,94.45,94.08,93.13,84.86,97.88,90.84,97.3,93.36,95.81,90.01,86.17,100,92.7164
2000450,86.81,87.78,96.89,90.3,88.55,84.81,95.23,91.5,86.85,89.45,95.25,92.73,99.35,93.42,91.3514
2004051,96.6,85.59,91.46,90.56,87.88,82.76,93.52,90.32,90.81,92.52,93.73,87.55,96.01,93.45,90.9114
2004151,92.27,91.57,95.01,96.46,89.6,95.03,89.23,88.99,90.96,95.01,93.48,93.52,92.21,89.54,92.3486
2004251,97.35,90.74,97.25,78.14,88.3,94.71,93.69,86.99,91.43,92.21,91.73,85.11,96.24,98.24,91.5807
2004351,93.25,89.9,96.61,99.06,83.57,87.15,89.96,92.01,95.46,95,85.71,85.7,83.15,84.15,90.0486
2004451,90.38,85.8,98.33,98.53,89.98,100,91.77,90.1,100,97.4,90.76,89.78,91.01,85.5,92.81
2004551,84.38,82.05,100,100,92.77,97.63,97.45,90.93,93.1,92.55,92.3,81.63,85.65,80.43,90.7764
2004651,89.62,88.71,88.66,95.12,89.53,93.4,97.88,95.53,94.78,90.72,99.27,98.27,90.25,93.22,93.2114
2004751,97.08,91.47,90.6,89.35,89.87,89.21,87.39,93.27,91.74,83.53,94.08,89.1,95.2,92.36,91.0179
2004851,94.06,99.96,97.03,95.85,89.37,95.63,98.89,93.63,96.82,86.34,96.46,88.61,89.57,100,94.4443
