Branch of Service,Rank,Functional Branch,Student_ID,Service Component,Commissioning Source
Army,CPT,Logistics,2000151,Active,Service Academy
Air Force,CPT,Intelligence,2000251,Active,ROTC
Army,CPT,Finance Corps,2000351,Active,OCS
Army,MAJ,Infantry,2000451,Active,OCS
Army,MAJ,Finance Corps,2000551,Active,ROTC
Army,CPT,Field Artillery,2000651,Active,OCS
Army,CPT,Medical Corps,2000751,Active,Direct Commission (Medical)
Army,MAJ,Engineer,2000851,Active,ROTC
Army,MAJ,Infantry,2000951,National Guard,Service Academy
Army,MAJ,Armor,2001051,Active,ROTC
Air Force,MAJ,Intelligence,2001151,Active,OCS
Army,MAJ,Finance Corps,2001251,Active,OCS
Army,MAJ,Engineer,2001351,National Guard,OCS
Army,MAJ,Logistics,2001451,Active,Service Academy
Army,CPT,Logistics,2001551,Active,ROTC
Navy,LT,Aviation,2001651,Active,OCS
Army,CPT,Finance Corps,2001751,Active,Service Academy
Central Intelligence Agency (CIA),GS-12,Human Resources,2063451,Civilian ,n/a
Navy,LCDR,Aviation,2001951,Active,ROTC
Central Intelligence Agency (CIA),GS-12,Human Resources,2244351,Civilian ,n/a
Army,CPT,Engineer,2002151,Active,OCS
Army,MAJ,Cyber,2002251,Active,Service Academy
Army,MAJ,Logistics,2002351,Reserve,ROTC
Army,MAJ,Military Police,2002451,Active,OCS
Army,MAJ,Armor,2002551,Active,OCS
Army,MAJ,Signal Corps,2002651,Active,Service Academy
Central Intelligence Agency (CIA),GS-12,Human Resources,2471351,Civilian ,n/a
Army,CPT,Signal Corps,2002851,Active,ROTC
Army,CPT,Cyber,2002951,Active,OCS
Army,MAJ,Signal Corps,2003051,National Guard,OCS
Customs and Border Protection (CBP),GS-13,Cyber Operations,2012051,Civilian ,n/a
Army,CPT,Finance Corps,2003251,Active,ROTC
Army,CPT,Engineer,2003351,Active,ROTC
Army,MAJ,Military Police,2003451,Active,ROTC
Army,CPT,Military Police,2003551,Active,Service Academy
Army,CPT,Infantry,2003651,Active,OCS
Air Force,CPT,Medical,2003751,Active,Direct Commission (Medical)
Army,CPT,Armor,2003851,National Guard,ROTC
Army,CPT,Infantry,2003951,National Guard,OCS
Army,MAJ,Medical Corps,2004051,Active,Direct Commission (Medical)
Army,CPT,Military Police,2004151,Active,ROTC
Army,MAJ,Military Police,2004251,Active,OCS
Army,MAJ,Infantry,2004351,Active,OCS
Army,MAJ,Engineer,2004451,Active,OCS
Air Force,MAJ,Medical,2004551,Active,Direct Commission (Medical)
Army,CPT,Signal Corps,2004651,Active,ROTC
Army,CPT,Infantry,2004751,National Guard,OCS
Army,MAJ,Infantry,2004851,Active,Service Academy
Army,CPT,Logistics,2004951,Active,ROTC
Army,MAJ,Cyber,2005051,Active,OCS
Army,MAJ,Infantry,2005151,Reserve,ROTC
Army,MAJ,Armor,2005251,Active,ROTC
Army,MAJ,Signal Corps,2005351,Active,Service Academy
Army,MAJ,Logistics,2005451,Reserve,Service Academy
Air Force,CPT,Cyber Operations,2005551,Active,ROTC
Army,CPT,Field Artillery,2005651,Active,OCS
Army,CPT,Armor,2005751,Reserve,OCS
Army,MAJ,Cyber,2005851,National Guard,OCS
Army,CPT,Finance Corps,2005951,Active,ROTC
Army,CPT,Infantry,2006051,Active,Service Academy
Air Force,MAJ,Intelligence,2006151,Reserve,ROTC
Army,CPT,Engineer,2006251,Active,Service Academy
Army,MAJ,Medical Corps,2006351,National Guard,Direct Commission (Medical)
Army,MAJ,Field Artillery,2006451,National Guard,OCS
Army,MAJ,Finance Corps,2006551,Active,OCS
Army,CPT,Logistics,2006651,National Guard,ROTC
Army,MAJ,Finance Corps,2006751,Active,ROTC
Army,MAJ,Medical Corps,2006851,Active,ROTC
Army,CPT,Military Police,2006951,Active,Service Academy
Marines,MAJ,Artillery,2007051,Active,ROTC
Customs and Border Protection (CBP),GS-12,Logistics,2061851,Civilian ,n/a
Army,CPT,Infantry,2007251,Active,OCS
Army,CPT,Medical Corps,2007351,Active,Direct Commission (Medical)
Army,MAJ,Field Artillery,2007451,Active,ROTC
Army,CPT,Cyber,2007551,Reserve,Service Academy
Army,MAJ,Armor,2007651,National Guard,OCS
Army,MAJ,Military Police,2007751,Active,Service Academy
Army,MAJ,Field Artillery,2007851,National Guard,ROTC
Army,MAJ,Armor,2007951,Active,ROTC
Army,MAJ,Signal Corps,2008051,Active,Service Academy
Army,MAJ,Medical Corps,2008151,Active,Service Academy
Army,MAJ,Signal Corps,2008251,Active,Service Academy
Army,CPT,Military Police,2008351,Active,ROTC
Army,MAJ,Aviation,2008451,Reserve,OCS
Army,MAJ,Finance Corps,2008551,National Guard,ROTC
Army,MAJ,Intelligence,2008651,Active,Service Academy
Army,MAJ,Aviation,2008751,Active,Service Academy
Air Force,MAJ,Maintenance,2008851,Active,OCS
Army,CPT,Cyber,2008951,Active,Service Academy
Army,MAJ,Engineer,2009051,Active,ROTC
Air Force,MAJ,Medical,2009151,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2009251,National Guard,Service Academy
Army,MAJ,Medical Corps,2009351,Active,Direct Commission (Medical)
Air Force,MAJ,Maintenance,2009451,Active,Service Academy
Air Force,MAJ,Intelligence,2009551,Active,Service Academy
Air Force,CPT,Cyber Operations,2009651,Reserve,OCS
Navy,LT,Aviation,2009751,Active,Service Academy
Army,CPT,Infantry,2009851,Active,ROTC
Army,MAJ,Field Artillery,2009951,National Guard,Service Academy
Army,CPT,Aviation,2010051,Active,Service Academy
Army,MAJ,Intelligence,2010151,National Guard,ROTC
Army,CPT,Infantry,2010251,Active,ROTC
Army,CPT,Armor,2010351,Active,ROTC
Army,CPT,Cyber,2010451,Reserve,OCS
Army,MAJ,Medical Corps,2010551,Active,Direct Commission (Medical)
Navy,LCDR,Medical,2010651,Reserve,Direct Commission (Medical)
Army,CPT,Signal Corps,2010751,Active,Service Academy
Army,MAJ,Cyber,2010851,National Guard,OCS
Space Force,CPT,Space Operations,2010951,Active,ROTC
Army,CPT,Finance Corps,2011051,Reserve,ROTC
Army,MAJ,Medical Corps,2011151,Active,Direct Commission (Medical)
Army,MAJ,Military Police,2011251,Active,Service Academy
Army,MAJ,Infantry,2011351,Active,ROTC
Army,CPT,Engineer,2011451,Active,OCS
Customs and Border Protection (CBP),GS-12,Logistics,2151751,Civilian ,n/a
Army,CPT,Aviation,2011651,National Guard,ROTC
Army,CPT,Cyber,2011751,Active,ROTC
Air Force,CPT,Maintenance,2011851,Active,ROTC
Army,MAJ,Finance Corps,2011951,Active,ROTC
Customs and Border Protection (CBP),GS-13,Medical,2152851,Civilian ,n/a
Marines,MAJ,Aviation,2012151,Reserve,ROTC
Army,MAJ,Field Artillery,2012251,Active,ROTC
Army,MAJ,Medical Corps,2012351,Active,Direct Commission (Medical)
Army,MAJ,Infantry,2012451,Active,ROTC
Air Force,MAJ,Cyber Operations,2012551,Active,OCS
Army,CPT,Military Police,2012651,National Guard,Service Academy
Army,MAJ,Armor,2012751,Reserve,ROTC
Space Force,CPT,Intelligence,2012851,Active,ROTC
Army,CPT,Engineer,2012951,Active,Service Academy
Army,MAJ,Engineer,2013051,Active,ROTC
Army,CPT,Intelligence,2013151,Active,OCS
Army,MAJ,Logistics,2013251,Active,OCS
Army,CPT,Logistics,2013351,Active,ROTC
Army,CPT,Finance Corps,2013451,Active,Service Academy
Army,MAJ,Logistics,2013551,Active,OCS
Army,MAJ,Cyber,2013651,Active,ROTC
Army,MAJ,Engineer,2013751,Active,OCS
Army,MAJ,Armor,2013851,Active,Service Academy
Army,MAJ,Engineer,2013951,National Guard,ROTC
Army,MAJ,Armor,2014051,Active,ROTC
Army,CPT,Military Police,2014151,National Guard,ROTC
Army,CPT,Infantry,2014251,Active,ROTC
Army,CPT,Military Police,2014351,National Guard,Service Academy
Army,CPT,Logistics,2014451,Active,OCS
Army,MAJ,Military Police,2014551,Active,ROTC
Army,MAJ,Signal Corps,2014651,National Guard,ROTC
Army,MAJ,Finance Corps,2014751,National Guard,OCS
Army,CPT,Logistics,2014851,Active,Service Academy
Army,MAJ,Aviation,2014951,Active,ROTC
Navy,LT,Submarine,2015051,Active,OCS
Army,MAJ,Military Police,2015151,Active,OCS
Army,CPT,Aviation,2015251,Active,ROTC
Army,MAJ,Finance Corps,2015351,Active,OCS
Army,MAJ,Finance Corps,2015451,National Guard,ROTC
Army,MAJ,Logistics,2015551,National Guard,Service Academy
Army,CPT,Armor,2015651,Active,ROTC
Army,CPT,Cyber,2015751,National Guard,OCS
Army,CPT,Aviation,2015851,Reserve,ROTC
Army,MAJ,Field Artillery,2015951,Active,ROTC
Army,CPT,Military Police,2016051,Active,Service Academy
Army,CPT,Aviation,2016151,Active,Service Academy
Army,CPT,Logistics,2016251,Active,OCS
Navy,LT,Aviation,2016351,Reserve,Service Academy
Army,MAJ,Engineer,2016451,Active,ROTC
Army,CPT,Engineer,2016551,Active,ROTC
Navy,LT,Submarine,2016651,Active,OCS
Army,MAJ,Intelligence,2016751,Reserve,ROTC
Army,MAJ,Military Police,2016851,National Guard,ROTC
Army,MAJ,Field Artillery,2016951,Active,ROTC
Army,CPT,Intelligence,2017051,Active,OCS
Army,CPT,Infantry,2017151,Reserve,ROTC
Army,MAJ,Infantry,2017251,Active,ROTC
Army,CPT,Signal Corps,2017351,Active,Service Academy
Army,MAJ,Intelligence,2017451,Reserve,Service Academy
Army,MAJ,Infantry,2017551,Active,Service Academy
Army,MAJ,Cyber,2017651,Active,ROTC
Army,MAJ,Aviation,2017751,Active,OCS
Army,MAJ,Engineer,2017851,Active,ROTC
Army,MAJ,Finance Corps,2017951,Active,ROTC
Army,MAJ,Signal Corps,2018051,Active,ROTC
Army,CPT,Finance Corps,2018151,Active,Service Academy
Army,MAJ,Engineer,2018251,Active,OCS
Army,CPT,Finance Corps,2018351,National Guard,OCS
Army,CPT,Intelligence,2018451,Active,OCS
Army,CPT,Field Artillery,2018551,Active,Service Academy
Army,CPT,Military Police,2018651,Active,OCS
Army,MAJ,Finance Corps,2018751,National Guard,Service Academy
Army,MAJ,Field Artillery,2018851,Reserve,ROTC
Army,MAJ,Medical Corps,2018951,Active,Direct Commission (Medical)
Army,CPT,Logistics,2019051,National Guard,OCS
Army,MAJ,Logistics,2019151,Active,Service Academy
Army,CPT,Aviation,2019251,National Guard,OCS
Army,MAJ,Aviation,2019351,Active,OCS
Army,MAJ,Armor,2019451,Active,ROTC
Army,CPT,Field Artillery,2019551,Active,Service Academy
Army,CPT,Armor,2019651,Active,ROTC
Army,MAJ,Finance Corps,2019751,Active,ROTC
Army,CPT,Intelligence,2019851,Active,Service Academy
Air Force,CPT,Pilot,2019951,Active,OCS
Army,CPT,Finance Corps,2020051,Active,ROTC
Army,MAJ,Infantry,2020151,National Guard,OCS
Army,MAJ,Aviation,2020251,Reserve,ROTC
Navy,LT,Intelligence,2020351,Active,ROTC
Army,MAJ,Aviation,2020451,Active,OCS
Army,MAJ,Engineer,2020551,Active,Service Academy
Army,CPT,Military Police,2020651,Reserve,Service Academy
Army,CPT,Engineer,2020751,Active,ROTC
Army,CPT,Intelligence,2020851,Active,ROTC
Army,MAJ,Infantry,2020951,Reserve,ROTC
Army,MAJ,Infantry,2021051,Active,ROTC
Army,CPT,Medical Corps,2021151,Reserve,Direct Commission (Medical)
Army,MAJ,Logistics,2021251,Active,OCS
Army,MAJ,Military Police,2021351,Active,ROTC
Army,CPT,Signal Corps,2021451,Active,OCS
Army,MAJ,Aviation,2021551,Active,OCS
Army,MAJ,Signal Corps,2021651,Active,Service Academy
Army,MAJ,Military Police,2021751,Reserve,OCS
Army,MAJ,Armor,2021851,National Guard,OCS
Customs and Border Protection (CBP),GS-12,Logistics,2221451,Civilian ,n/a
Army,MAJ,Military Police,2022051,Active,OCS
Air Force,CPT,Pilot,2022151,National Guard,Service Academy
Army,CPT,Medical Corps,2022251,Active,Direct Commission (Medical)
Army,MAJ,Armor,2022351,National Guard,Service Academy
Army,MAJ,Armor,2022451,Reserve,OCS
Army,MAJ,Medical Corps,2022551,Active,Direct Commission (Medical)
Army,CPT,Medical Corps,2022651,National Guard,Direct Commission (Medical)
Army,CPT,Military Police,2022751,Active,Service Academy
Army,MAJ,Cyber,2022851,Active,ROTC
Army,CPT,Engineer,2022951,National Guard,ROTC
Army,CPT,Cyber,2023051,Active,Service Academy
Army,CPT,Intelligence,2023151,Reserve,Service Academy
Army,MAJ,Cyber,2023251,National Guard,ROTC
Army,MAJ,Military Police,2023351,Active,ROTC
Air Force,CPT,Cyber Operations,2023451,Active,OCS
Army,MAJ,Medical Corps,2023551,Active,Direct Commission (Medical)
Army,MAJ,Cyber,2023651,Reserve,OCS
Army,MAJ,Infantry,2023751,Active,ROTC
Army,CPT,Logistics,2023851,Active,Service Academy
Navy,LT,Aviation,2023951,Reserve,ROTC
Army,CPT,Infantry,2024051,Active,Service Academy
Navy,LCDR,Surface Warfare,2024151,Active,ROTC
Army,CPT,Intelligence,2024251,Active,Service Academy
Marines,CPT,Infantry,2024351,Reserve,Service Academy
Air Force,MAJ,Maintenance,2024451,Reserve,OCS
Army,CPT,Engineer,2024551,Active,OCS
Army,CPT,Engineer,2024651,National Guard,ROTC
Army,MAJ,Military Police,2024751,Reserve,Service Academy
Army,CPT,Medical Corps,2024851,National Guard,Direct Commission (Medical)
Army,CPT,Military Police,2024951,Active,OCS
Army,CPT,Engineer,2025051,National Guard,ROTC
Army,CPT,Finance Corps,2025151,Active,Service Academy
Marines,MAJ,Aviation,2025251,Active,ROTC
Army,CPT,Military Police,2025351,Active,OCS
Army,CPT,Engineer,2025451,Active,Service Academy
Army,MAJ,Finance Corps,2025551,Active,ROTC
Army,MAJ,Infantry,2025651,Active,Service Academy
Army,MAJ,Field Artillery,2025751,Active,ROTC
Army,CPT,Cyber,2025851,Active,ROTC
Army,CPT,Medical Corps,2025951,Active,Direct Commission (Medical)
Army,MAJ,Infantry,2026051,National Guard,Service Academy
Army,CPT,Field Artillery,2026151,National Guard,OCS
Army,CPT,Cyber,2026251,Active,ROTC
Army,CPT,Military Police,2026351,Active,Service Academy
Army,MAJ,Field Artillery,2026451,Active,OCS
Army,CPT,Armor,2026551,Active,ROTC
Marines,CPT,Artillery,2026651,Active,Service Academy
Army,MAJ,Finance Corps,2026751,National Guard,ROTC
Army,CPT,Field Artillery,2026851,Active,ROTC
Army,CPT,Engineer,2026951,Active,OCS
Army,CPT,Aviation,2027051,National Guard,Service Academy
Army,MAJ,Medical Corps,2027151,Active,Direct Commission (Medical)
Army,MAJ,Signal Corps,2027251,Active,Service Academy
Army,MAJ,Cyber,2027351,Active,ROTC
Customs and Border Protection (CBP),GS-13,Human Resources,2228351,Civilian ,n/a
Army,CPT,Engineer,2027551,Reserve,OCS
Army,MAJ,Finance Corps,2027651,Active,Service Academy
Army,MAJ,Signal Corps,2027751,Active,ROTC
Army,CPT,Military Police,2027851,Active,OCS
Army,CPT,Medical Corps,2027951,Active,Direct Commission (Medical)
Space Force,MAJ,Cyber Operations,2028051,Active,ROTC
Army,MAJ,Aviation,2028151,Active,ROTC
Army,MAJ,Field Artillery,2028251,National Guard,OCS
Army,MAJ,Medical Corps,2028351,Active,Direct Commission (Medical)
